Course,Type,Room,Timeslot,Day,-,Course,Type,Room,Timeslot,Day,-,Course,Type,Room,Timeslot,Day,-,Course,Type,Room,Timeslot,Day,-,Course,Type,Room,Timeslot,Day,-
-,-,A1.04,9:00 - 11:00,Monday,-,Informatie- en organisatieontwerp,lecture,A1.04,9:00 - 11:00,Tuesday,-,-,-,A1.04,9:00 - 11:00,Wednesday,-,Bioinformatica,practical,A1.04,9:00 - 11:00,Thursday,-,-,-,A1.04,9:00 - 11:00,Friday,-
Technology for games,lecture,A1.06,9:00 - 11:00,Monday,-,-,-,A1.06,9:00 - 11:00,Tuesday,-,Algoritmen en complexiteit,practical,A1.06,9:00 - 11:00,Wednesday,-,Autonomous Agents 2,lecture,A1.06,9:00 - 11:00,Thursday,-,Heuristieken 2,tutorial,A1.06,9:00 - 11:00,Friday,-
Lineaire Algebra,lecture,A1.08,9:00 - 11:00,Monday,-,-,-,A1.08,9:00 - 11:00,Tuesday,-,Programmeren in Java 2,practical,A1.08,9:00 - 11:00,Wednesday,-,-,-,A1.08,9:00 - 11:00,Thursday,-,-,-,A1.08,9:00 - 11:00,Friday,-
Bioinformatica,lecture,A1.10,9:00 - 11:00,Monday,-,-,-,A1.10,9:00 - 11:00,Tuesday,-,-,-,A1.10,9:00 - 11:00,Wednesday,-,-,-,A1.10,9:00 - 11:00,Thursday,-,Autonomous Agents 2,lecture,A1.10,9:00 - 11:00,Friday,-
-,-,B0.201,9:00 - 11:00,Monday,-,Moderne Databases,tutorial,B0.201,9:00 - 11:00,Tuesday,-,Compilerbouw,practical,B0.201,9:00 - 11:00,Wednesday,-,-,-,B0.201,9:00 - 11:00,Thursday,-,Calculus 2,lecture,B0.201,9:00 - 11:00,Friday,-
-,-,C0.110,9:00 - 11:00,Monday,-,Collectieve Intelligentie,lecture,C0.110,9:00 - 11:00,Tuesday,-,-,-,C0.110,9:00 - 11:00,Wednesday,-,Data Mining,practical,C0.110,9:00 - 11:00,Thursday,-,Analysemethoden en -technieken,lecture,C0.110,9:00 - 11:00,Friday,-
Calculus 2,tutorial,C1.112,9:00 - 11:00,Monday,-,-,-,C1.112,9:00 - 11:00,Tuesday,-,Algoritmen en complexiteit,lecture,C1.112,9:00 - 11:00,Wednesday,-,Reflectie op de digitale cultuur,lecture,C1.112,9:00 - 11:00,Thursday,-,-,-,C1.112,9:00 - 11:00,Friday,-
Collectieve Intelligentie,practical,A1.04,11:00 - 13:00,Monday,-,Databases 2,tutorial,A1.04,11:00 - 13:00,Tuesday,-,Machine Learning,lecture,A1.04,11:00 - 13:00,Wednesday,-,Advanced Heuristics,lecture,A1.04,11:00 - 13:00,Thursday,-,-,-,A1.04,11:00 - 13:00,Friday,-
Netwerken en systeembeveiliging,practical,A1.06,11:00 - 13:00,Monday,-,Webprogrammeren en databases,lecture,A1.06,11:00 - 13:00,Tuesday,-,-,-,A1.06,11:00 - 13:00,Wednesday,-,-,-,A1.06,11:00 - 13:00,Thursday,-,Compilerbouw (practicum),practical,A1.06,11:00 - 13:00,Friday,-
-,-,A1.08,11:00 - 13:00,Monday,-,-,-,A1.08,11:00 - 13:00,Tuesday,-,Collectieve Intelligentie,tutorial,A1.08,11:00 - 13:00,Wednesday,-,-,-,A1.08,11:00 - 13:00,Thursday,-,Advanced Heuristics,practical,A1.08,11:00 - 13:00,Friday,-
